Noise_eta,CHSH_mean,CHSH_std,CI_low,CI_high,Above_classical
0.0,2.82843,0.01,2.8259,2.83096,True
0.0102,2.771,0.01,2.76847,2.77353,True
0.02041,2.71416,0.01,2.71163,2.71669,True
0.03061,2.65791,0.01,2.65538,2.66044,True
0.04082,2.60225,0.01,2.59972,2.60478,True
0.05102,2.54717,0.01,2.54464,2.54971,True
0.06122,2.49269,0.01,2.49016,2.49522,True
0.07143,2.4388,0.01,2.43627,2.44133,True
0.08163,2.38549,0.01,2.38296,2.38802,True
0.09184,2.33278,0.01,2.33024,2.33531,True
0.10204,2.28065,0.01,2.27812,2.28318,True
0.11224,2.22911,0.01,2.22658,2.23164,True
0.12245,2.17816,0.01,2.17563,2.18069,True
0.13265,2.1278,0.01,2.12527,2.13033,True
0.14286,2.07803,0.01,2.0755,2.08056,True
0.15306,2.02885,0.01,2.02632,2.03138,True
0.16327,1.98025,0.01,1.97772,1.98278,False
0.17347,1.93225,0.01,1.92972,1.93478,False
0.18367,1.88483,0.01,1.8823,1.88736,False
0.19388,1.83801,0.01,1.83548,1.84054,False
0.20408,1.79177,0.01,1.78924,1.7943,False
0.21429,1.74612,0.01,1.74359,1.74865,False
0.22449,1.70106,0.01,1.69853,1.70359,False
0.23469,1.65659,0.01,1.65406,1.65912,False
0.2449,1.61271,0.01,1.61018,1.61524,False
0.2551,1.56942,0.01,1.56689,1.57195,False
0.26531,1.52671,0.01,1.52418,1.52924,False
0.27551,1.4846,0.01,1.48207,1.48713,False
0.28571,1.44308,0.01,1.44054,1.44561,False
0.29592,1.40214,0.01,1.39961,1.40467,False
0.30612,1.36179,0.01,1.35926,1.36432,False
0.31633,1.32203,0.01,1.3195,1.32456,False
0.32653,1.28286,0.01,1.28033,1.28539,False
0.33673,1.24428,0.01,1.24175,1.24681,False
0.34694,1.20629,0.01,1.20376,1.20882,False
0.35714,1.16889,0.01,1.16636,1.17142,False
0.36735,1.13208,0.01,1.12955,1.13461,False
0.37755,1.09585,0.01,1.09332,1.09838,False
0.38776,1.06022,0.01,1.05769,1.06275,False
0.39796,1.02517,0.01,1.02264,1.0277,False
0.40816,0.99072,0.01,0.98818,0.99325,False
0.41837,0.95685,0.01,0.95432,0.95938,False
0.42857,0.92357,0.01,0.92104,0.9261,False
0.43878,0.89088,0.01,0.88835,0.89341,False
0.44898,0.85878,0.01,0.85625,0.86131,False
0.45918,0.82726,0.01,0.82473,0.8298,False
0.46939,0.79634,0.01,0.79381,0.79887,False
0.47959,0.76601,0.01,0.76348,0.76854,False
0.4898,0.73626,0.01,0.73373,0.73879,False
0.5,0.70711,0.01,0.70458,0.70964,False
