Sim_ID,Mass_kg,E_grav_J,T_OR_s,T_OR_us,Quantum_OR
1,2.4289e-14,2.4610e-30,4.2851e-05,42.8514,True
2,3.2860e-12,4.5042e-26,2.3413e-09,0.0023,True
3,5.1006e-13,1.0853e-27,9.7172e-08,0.0972,True
4,1.6384e-13,1.1198e-28,9.4178e-07,0.9418,True
5,3.7767e-15,5.9498e-32,1.7724e-03,1772.4495,False
6,3.7759e-15,5.9474e-32,1.7732e-03,1773.1779,False
7,1.6400e-15,1.1220e-32,9.3992e-03,9399.2096,False
8,1.5994e-12,1.0671e-26,9.8826e-09,0.0099,True
9,1.6730e-13,1.1676e-28,9.0319e-07,0.9032,True
10,4.1604e-13,7.2204e-28,1.4605e-07,0.1461,True
11,1.1916e-15,5.9234e-33,1.7804e-02,17803.589,False
12,3.8696e-12,6.2463e-26,1.6883e-09,0.0017,True
13,1.2000e-12,6.0068e-27,1.7556e-08,0.0176,True
14,6.1015e-15,1.5530e-31,6.7908e-04,679.076,False
15,4.7051e-15,9.2346e-32,1.1420e-03,1141.9845,False
16,4.7688e-15,9.4864e-32,1.1117e-03,1111.6674,False
17,1.3347e-14,7.4311e-31,1.4191e-04,141.9138,False
18,8.7309e-14,3.1798e-29,3.3165e-06,3.3165,True
19,3.9605e-14,6.5432e-30,1.6117e-05,16.1171,True
20,1.1947e-14,5.9536e-31,1.7713e-04,177.1311,False
21,1.8333e-13,1.4020e-28,7.5221e-07,0.7522,True
22,3.2808e-15,4.4901e-32,2.3487e-03,2348.6765,False
23,1.2040e-14,6.0472e-31,1.7439e-04,174.3901,False
24,2.2655e-14,2.1410e-30,4.9257e-05,49.2569,True
25,4.8640e-14,9.8688e-30,1.0686e-05,10.6859,True
26,8.0231e-13,2.6852e-27,3.9274e-08,0.0393,True
27,5.4776e-15,1.2516e-31,8.4259e-04,842.5889,False
28,7.9825e-14,2.6580e-29,3.9675e-06,3.9675,True
29,1.5535e-13,1.0068e-28,1.0475e-06,1.0475,True
30,1.4853e-15,9.2029e-33,1.1459e-02,11459.1669,False
31,1.7672e-13,1.3028e-28,8.0949e-07,0.8095,True
32,4.2733e-15,7.6175e-32,1.3844e-03,1384.4051,False
33,1.7403e-15,1.2634e-32,8.3472e-03,8347.2348,False
34,3.2352e-12,4.3660e-26,2.4154e-09,0.0024,True
35,3.7312e-12,5.8073e-26,1.8159e-09,0.0018,True
36,9.7777e-13,3.9881e-27,2.6443e-08,0.0264,True
37,1.3389e-14,7.4783e-31,1.4102e-04,141.0185,False
38,2.2977e-15,2.2022e-32,4.7887e-03,4788.7038,False
39,3.3959e-13,4.8106e-28,2.1922e-07,0.2192,True
40,4.2473e-14,7.5250e-30,1.4014e-05,14.0142,True
41,2.8276e-15,3.3352e-32,3.1620e-03,3161.9782,False
42,6.7865e-14,1.9212e-29,5.4891e-06,5.4891,True
43,1.3403e-15,7.4936e-33,1.4073e-02,14072.9841,False
44,2.3097e-12,2.2253e-26,4.7391e-09,0.0047,True
45,9.0619e-15,3.4255e-31,3.0786e-04,307.8588,False
46,2.8226e-13,3.3234e-28,3.1731e-07,0.3173,True
47,1.4224e-14,8.4393e-31,1.2496e-04,124.9599,False
48,8.3891e-14,2.9357e-29,3.5922e-06,3.5922,True
49,1.0526e-13,4.6218e-29,2.2817e-06,2.2817,True
50,4.8280e-15,9.7236e-32,1.0845e-03,1084.5467,False
51,3.8589e-12,6.2118e-26,1.6977e-09,0.0017,True
52,7.3653e-13,2.2629e-27,4.6602e-08,0.0466,True
53,2.9866e-12,3.7209e-26,2.8342e-09,0.0028,True
54,2.0415e-12,1.7385e-26,6.0661e-09,0.0061,True
55,1.6278e-13,1.1054e-28,9.5403e-07,0.954,True
56,2.5703e-12,2.7559e-26,3.8267e-09,0.0038,True
57,2.1249e-15,1.8834e-32,5.5992e-03,5599.2285,False
58,5.3080e-15,1.1753e-31,8.9727e-04,897.2655,False
59,1.4699e-15,9.0131e-33,1.1700e-02,11700.4252,False
60,1.5973e-14,1.0643e-30,9.9087e-05,99.0869,True
61,2.7397e-14,3.1311e-30,3.3681e-05,33.6805,True
62,1.0086e-14,4.2434e-31,2.4852e-04,248.523,False
63,1.1627e-12,5.6394e-27,1.8700e-08,0.0187,True
64,2.0875e-14,1.8177e-30,5.8016e-05,58.0164,True
65,1.0944e-14,4.9960e-31,2.1108e-04,211.0832,False
66,1.0172e-13,4.3164e-29,2.4432e-06,2.4432,True
67,3.3210e-15,4.6008e-32,2.2921e-03,2292.1416,False
68,9.2748e-13,3.5883e-27,2.9389e-08,0.0294,True
69,1.8870e-15,1.4853e-32,7.1002e-03,7100.1778,False
70,4.4716e-12,8.3410e-26,1.2643e-09,0.0013,True
71,7.1864e-13,2.1543e-27,4.8952e-08,0.049,True
72,5.4330e-15,1.2313e-31,8.5645e-04,856.4534,False
73,1.0482e-15,4.5829e-33,2.3011e-02,23011.1393,False
74,1.0384e-12,4.4980e-27,2.3445e-08,0.0234,True
75,4.1176e-13,7.0725e-28,1.4911e-07,0.1491,True
76,4.9725e-13,1.0314e-27,1.0224e-07,0.1022,True
77,7.1270e-13,2.1188e-27,4.9771e-08,0.0498,True
78,1.8788e-15,1.4725e-32,7.1616e-03,7161.6406,False
79,2.1181e-14,1.8715e-30,5.6349e-05,56.3485,True
80,2.6828e-15,3.0025e-32,3.5124e-03,3512.3522,False
81,1.5581e-12,1.0127e-26,1.0414e-08,0.0104,True
82,2.0210e-13,1.7038e-28,6.1897e-07,0.619,True
83,1.6749e-14,1.1702e-30,9.0121e-05,90.1211,True
84,1.7183e-15,1.2316e-32,8.5623e-03,8562.2825,False
85,1.4136e-14,8.3352e-31,1.2652e-04,126.5208,False
86,1.5953e-14,1.0616e-30,9.9335e-05,99.3353,True
87,4.9979e-13,1.0420e-27,1.0121e-07,0.1012,True
88,2.2819e-13,2.1722e-28,4.8549e-07,0.4855,True
89,1.9133e-12,1.5270e-26,6.9063e-09,0.0069,True
90,5.5810e-14,1.2993e-29,8.1166e-06,8.1166,True
91,2.7693e-15,3.1992e-32,3.2964e-03,3296.3958,False
92,4.3478e-13,7.8855e-28,1.3374e-07,0.1337,True
93,6.5181e-13,1.7723e-27,5.9504e-08,0.0595,True
94,1.1916e-13,5.9235e-29,1.7803e-06,1.7803,True
95,7.1086e-13,2.1079e-27,5.0029e-08,0.05,True
96,6.7071e-14,1.8765e-29,5.6198e-06,5.6198,True
97,8.5817e-14,3.0721e-29,3.4328e-06,3.4328,True
98,3.8147e-14,6.0703e-30,1.7373e-05,17.3727,True
99,1.2417e-15,6.4318e-33,1.6396e-02,16396.1257,False
100,2.5066e-15,2.6210e-32,4.0236e-03,4023.6121,False
101,1.3069e-15,7.1252e-33,1.4801e-02,14800.5953,False
102,2.2598e-13,2.1302e-28,4.9507e-07,0.4951,True
103,1.4548e-14,8.8282e-31,1.1945e-04,119.4548,False
104,7.6066e-14,2.4136e-29,4.3693e-06,4.3693,True
105,2.2754e-12,2.1598e-26,4.8828e-09,0.0049,True
106,8.3584e-15,2.9143e-31,3.6186e-04,361.8607,False
107,3.2961e-14,4.5318e-30,2.3270e-05,23.2703,True
108,6.2339e-13,1.6211e-27,6.5053e-08,0.0651,True
109,7.0197e-15,2.0555e-31,5.1304e-04,513.0448,False
110,1.9264e-15,1.5480e-32,6.8124e-03,6812.3611,False
111,1.1797e-14,5.8056e-31,1.8165e-04,181.6463,False
112,3.9478e-15,6.5012e-32,1.6221e-03,1622.1276,False
113,2.7474e-12,3.1487e-26,3.3492e-09,0.0033,True
114,9.7547e-13,3.9693e-27,2.6568e-08,0.0266,True
115,2.2026e-13,2.0238e-28,5.2108e-07,0.5211,True
116,1.6730e-12,1.1676e-26,9.0319e-09,0.009,True
117,9.3920e-13,3.6796e-27,2.8660e-08,0.0287,True
118,4.8991e-15,1.0012e-31,1.0533e-03,1053.3102,False
119,2.0024e-12,1.6726e-26,6.3051e-09,0.0063,True
120,9.8858e-14,4.0767e-29,2.5868e-06,2.5868,True
121,9.6983e-13,3.9236e-27,2.6878e-08,0.0269,True
122,2.0635e-12,1.7763e-26,5.9369e-09,0.0059,True
123,1.5007e-14,9.3941e-31,1.1226e-04,112.2586,False
124,2.5532e-15,2.7192e-32,3.8782e-03,3878.2239,False
125,6.9683e-15,2.0255e-31,5.2064e-04,520.6427,False
126,3.8007e-14,6.0256e-30,1.7501e-05,17.5014,True
127,1.0612e-12,4.6980e-27,2.2447e-08,0.0224,True
128,1.5269e-12,9.7257e-27,1.0843e-08,0.0108,True
129,1.0610e-15,4.6959e-33,2.2457e-02,22457.3738,False
130,7.7489e-14,2.5047e-29,4.2103e-06,4.2103,True
131,3.4994e-14,5.1082e-30,2.0645e-05,20.6447,True
132,6.6309e-15,1.8341e-31,5.7498e-04,574.9766,False
133,2.7757e-15,3.2140e-32,3.2812e-03,3281.2069,False
134,1.7735e-14,1.3120e-30,8.0377e-05,80.3773,True
135,3.0746e-12,3.9434e-26,2.6742e-09,0.0027,True
136,1.5686e-14,1.0264e-30,1.0274e-04,102.7435,False
137,8.2983e-14,2.8726e-29,3.6712e-06,3.6712,True
138,3.9852e-13,6.6249e-28,1.5918e-07,0.1592,True
139,2.2134e-14,2.0436e-30,5.1604e-05,51.6037,True
140,3.9318e-12,6.4487e-26,1.6353e-09,0.0016,True
141,3.6313e-12,5.5006e-26,1.9172e-09,0.0019,True
142,8.5376e-15,3.0406e-31,3.4683e-04,346.8327,False
143,6.9073e-14,1.9902e-29,5.2988e-06,5.2988,True
144,1.2970e-14,7.0172e-31,1.5028e-04,150.2833,False
145,1.1314e-14,5.3397e-31,1.9750e-04,197.4956,False
146,1.3691e-15,7.8194e-33,1.3487e-02,13486.6159,False
