Time_ns,Coherence,Sigma_x,Sigma_y,Sigma_z,Threshold
0.0,1.0,1.0,0.0,0.0,0.367879
0.2002,0.979199,0.979199,0.0,0.002,0.367879
0.4004,0.95883,0.95883,0.0,0.003996,0.367879
0.6006,0.938885,0.938885,0.0,0.005988,0.367879
0.8008,0.919354,0.919354,0.0,0.007976,0.367879
1.001,0.90023,0.90023,0.0,0.00996,0.367879
1.2012,0.881504,0.881504,0.0,0.01194,0.367879
1.4014,0.863168,0.863168,0.0,0.013916,0.367879
1.6016,0.845212,0.845212,0.0,0.015888,0.367879
1.8018,0.827631,0.827631,0.0,0.017857,0.367879
2.002,0.810415,0.810415,0.0,0.019821,0.367879
2.2022,0.793557,0.793557,0.0,0.021781,0.367879
2.4024,0.777049,0.777049,0.0,0.023738,0.367879
2.6026,0.760885,0.760885,0.0,0.02569,0.367879
2.8028,0.745058,0.745058,0.0,0.027639,0.367879
3.003,0.729559,0.729559,0.0,0.029584,0.367879
3.2032,0.714383,0.714383,0.0,0.031524,0.367879
3.4034,0.699523,0.699523,0.0,0.033461,0.367879
3.6036,0.684972,0.684972,0.0,0.035394,0.367879
3.8038,0.670723,0.670723,0.0,0.037324,0.367879
4.004,0.656771,0.656771,0.0,0.039249,0.367879
4.2042,0.643109,0.643109,0.0,0.041171,0.367879
4.4044,0.629731,0.629731,0.0,0.043088,0.367879
4.6046,0.616632,0.616632,0.0,0.045002,0.367879
4.8048,0.603805,0.603805,0.0,0.046912,0.367879
5.005,0.591245,0.591245,0.0,0.048818,0.367879
5.2052,0.578946,0.578946,0.0,0.050721,0.367879
5.4054,0.566903,0.566903,0.0,0.052619,0.367879
5.6056,0.555111,0.555111,0.0,0.054514,0.367879
5.8058,0.543563,0.543563,0.0,0.056405,0.367879
6.006,0.532256,0.532256,0.0,0.058292,0.367879
6.2062,0.521185,0.521185,0.0,0.060175,0.367879
6.4064,0.510343,0.510343,0.0,0.062055,0.367879
6.6066,0.499727,0.499727,0.0,0.063931,0.367879
6.8068,0.489332,0.489332,0.0,0.065803,0.367879
7.007,0.479153,0.479153,0.0,0.067672,0.367879
7.2072,0.469186,0.469186,0.0,0.069536,0.367879
7.4074,0.459426,0.459426,0.0,0.071397,0.367879
7.6076,0.449869,0.449869,0.0,0.073254,0.367879
7.8078,0.440511,0.440511,0.0,0.075108,0.367879
8.008,0.431348,0.431348,0.0,0.076958,0.367879
8.2082,0.422375,0.422375,0.0,0.078804,0.367879
8.4084,0.413589,0.413589,0.0,0.080646,0.367879
8.6086,0.404986,0.404986,0.0,0.082485,0.367879
8.8088,0.396562,0.396562,0.0,0.08432,0.367879
9.009,0.388312,0.388312,0.0,0.086151,0.367879
9.2092,0.380235,0.380235,0.0,0.087979,0.367879
9.4094,0.372325,0.372325,0.0,0.089803,0.367879
9.6096,0.36458,0.36458,0.0,0.091623,0.367879
9.8098,0.356997,0.356997,0.0,0.09344,0.367879
10.01,0.349571,0.349571,0.0,0.095253,0.367879
10.2102,0.342299,0.342299,0.0,0.097063,0.367879
10.4104,0.335179,0.335179,0.0,0.098869,0.367879
10.6106,0.328206,0.328206,0.0,0.100671,0.367879
10.8108,0.321379,0.321379,0.0,0.102469,0.367879
11.011,0.314694,0.314694,0.0,0.104264,0.367879
11.2112,0.308148,0.308148,0.0,0.106056,0.367879
11.4114,0.301738,0.301738,0.0,0.107844,0.367879
11.6116,0.295461,0.295461,0.0,0.109628,0.367879
11.8118,0.289315,0.289315,0.0,0.111409,0.367879
12.012,0.283297,0.283297,0.0,0.113186,0.367879
12.2122,0.277404,0.277404,0.0,0.11496,0.367879
12.4124,0.271633,0.271633,0.0,0.11673,0.367879
12.6126,0.265983,0.265983,0.0,0.118496,0.367879
12.8128,0.26045,0.26045,0.0,0.120259,0.367879
13.013,0.255032,0.255032,0.0,0.122019,0.367879
13.2132,0.249727,0.249727,0.0,0.123775,0.367879
13.4134,0.244533,0.244533,0.0,0.125527,0.367879
13.6136,0.239446,0.239446,0.0,0.127276,0.367879
13.8138,0.234465,0.234465,0.0,0.129022,0.367879
14.014,0.229588,0.229588,0.0,0.130764,0.367879
14.2142,0.224812,0.224812,0.0,0.132502,0.367879
14.4144,0.220136,0.220136,0.0,0.134237,0.367879
14.6146,0.215556,0.215556,0.0,0.135969,0.367879
14.8148,0.211073,0.211073,0.0,0.137697,0.367879
15.015,0.206682,0.206682,0.0,0.139421,0.367879
15.2152,0.202383,0.202383,0.0,0.141142,0.367879
15.4154,0.198173,0.198173,0.0,0.14286,0.367879
15.6156,0.19405,0.19405,0.0,0.144574,0.367879
15.8158,0.190014,0.190014,0.0,0.146285,0.367879
16.016,0.186061,0.186061,0.0,0.147993,0.367879
16.2162,0.182191,0.182191,0.0,0.149697,0.367879
16.4164,0.178401,0.178401,0.0,0.151397,0.367879
16.6166,0.17469,0.17469,0.0,0.153094,0.367879
16.8168,0.171056,0.171056,0.0,0.154788,0.367879
17.017,0.167498,0.167498,0.0,0.156479,0.367879
