Temperature_K,Dephasing_per_ns,Coherence_ns,Bio_relevant
270.0,0.01,20.8641,True
273.16,0.01,20.4827,True
276.32,0.01,20.1108,True
279.47,0.01,19.7482,True
282.63,0.01,19.3944,True
285.79,0.01,19.0494,True
288.95,0.01,18.7128,True
292.11,0.01,18.3843,True
295.26,0.01,18.0639,True
298.42,0.01,17.7511,True
301.58,0.01,17.4458,True
304.74,0.01,17.1478,True
307.89,0.01,16.8568,True
311.05,0.01,16.5727,True
314.21,0.01,16.2953,True
317.37,0.01,16.0243,True
320.53,0.01,15.7596,True
323.68,0.01,15.5011,True
326.84,0.01,15.2484,True
330.0,0.01,15.0016,True
270.0,0.0516,11.1722,True
273.16,0.0516,11.0619,True
276.32,0.0516,10.9525,True
279.47,0.0516,10.844,True
282.63,0.0516,10.7365,True
285.79,0.0516,10.6299,True
288.95,0.0516,10.5243,True
292.11,0.0516,10.4196,True
295.26,0.0516,10.3159,True
298.42,0.0516,10.2131,True
301.58,0.0516,10.1113,True
304.74,0.0516,10.0105,True
307.89,0.0516,9.9106,False
311.05,0.0516,9.8117,False
314.21,0.0516,9.7138,False
317.37,0.0516,9.6169,False
320.53,0.0516,9.5209,False
323.68,0.0516,9.4259,False
326.84,0.0516,9.3319,False
330.0,0.0516,9.2388,False
270.0,0.0932,7.6285,False
273.16,0.0932,7.5769,False
276.32,0.0932,7.5255,False
279.47,0.0932,7.4741,False
282.63,0.0932,7.4229,False
285.79,0.0932,7.3717,False
288.95,0.0932,7.3208,False
292.11,0.0932,7.27,False
295.26,0.0932,7.2193,False
298.42,0.0932,7.1688,False
301.58,0.0932,7.1185,False
304.74,0.0932,7.0684,False
307.89,0.0932,7.0185,False
311.05,0.0932,6.9687,False
314.21,0.0932,6.9192,False
317.37,0.0932,6.8699,False
320.53,0.0932,6.8208,False
323.68,0.0932,6.7719,False
326.84,0.0932,6.7232,False
330.0,0.0932,6.6748,False
270.0,0.1347,5.7915,False
273.16,0.1347,5.7617,False
276.32,0.1347,5.7319,False
279.47,0.1347,5.7021,False
282.63,0.1347,5.6722,False
285.79,0.1347,5.6423,False
288.95,0.1347,5.6124,False
292.11,0.1347,5.5825,False
295.26,0.1347,5.5526,False
298.42,0.1347,5.5227,False
301.58,0.1347,5.4928,False
304.74,0.1347,5.4629,False
307.89,0.1347,5.433,False
311.05,0.1347,5.4032,False
314.21,0.1347,5.3733,False
317.37,0.1347,5.3435,False
320.53,0.1347,5.3138,False
323.68,0.1347,5.2841,False
326.84,0.1347,5.2544,False
330.0,0.1347,5.2248,False
270.0,0.1763,4.6676,False
273.16,0.1763,4.6482,False
276.32,0.1763,4.6288,False
279.47,0.1763,4.6093,False
282.63,0.1763,4.5897,False
285.79,0.1763,4.5702,False
